Year,Quarter,Region,Species,Grade,Pond Value,Number of Quotes
2010,4,5 - Klamath Unit,Douglas-fir,"6""-8""             ",305.00,6
2005,4,4 - Grants Pass Unit,Sugar Pine,3S,650.00,5 or less
2004,1,4 - Grants Pass Unit,Douglas-fir,1P,935.00,5 or less
2002,3,5 - Klamath Unit,Ponderosa Pine,"8""-14""",395.00,5 or less
2002,1,4 - Grants Pass Unit,Hemlock,"CR (+12"")",400.00,5 or less
2000,2,5 - Klamath Unit,True Fir,SC,75.00,5 or less
2015,1,1 - Northwest Oregon & Willamette,Douglas-fir,1P,615.00,12
2015,1,1 - Northwest Oregon & Willamette,Douglas-fir,2P,615.00,12
2015,1,1 - Northwest Oregon & Willamette,Douglas-fir,3P &Btr,615.00,12
2015,1,1 - Northwest Oregon & Willamette,Douglas-fir,SM,610.00,12
2015,1,1 - Northwest Oregon & Willamette,Douglas-fir,2S,595.00,20
2015,1,1 - Northwest Oregon & Willamette,Douglas-fir,3S,550.00,18
2015,1,1 - Northwest Oregon & Willamette,Douglas-fir,"(8-11"")",575.00,18
2015,1,1 - Northwest Oregon & Willamette,Douglas-fir,"(5-7"")",525.00,17
2015,1,1 - Northwest Oregon & Willamette,Douglas-fir,4S,525.00,17
2015,1,1 - Northwest Oregon & Willamette,Douglas-fir,"3S (12""+)",280.00,9
2015,1,1 - Northwest Oregon & Willamette,Douglas-fir,SC,200.00,5 or less
2015,1,1 - Northwest Oregon & Willamette,Douglas-fir,Utility,150.00,5 or less
2015,1,1 - Northwest Oregon & Willamette,Hemlock,P,520.00,6
2015,1,1 - Northwest Oregon & Willamette,Hemlock,SM,510.00,6
2015,1,1 - Northwest Oregon & Willamette,Hemlock,2S,490.00,14
2015,1,1 - Northwest Oregon & Willamette,Hemlock,3S,460.00,14
2015,1,1 - Northwest Oregon & Willamette,Hemlock,"(8-11"")",480.00,14
2015,1,1 - Northwest Oregon & Willamette,Hemlock,"(5-7"")",440.00,15
2015,1,1 - Northwest Oregon & Willamette,Hemlock,4S,440.00,15
2015,1,1 - Northwest Oregon & Willamette,Hemlock,"3S (12""+)",225.00,5 or less
2000,1,4 - Grants Pass Unit,Ponderosa Pine,5S,650.00,5 or less
2015,1,1 - Northwest Oregon & Willamette,Hemlock,Utility,150.00,5 or less
2015,1,1 - Northwest Oregon & Willamette,Spruce,SM,510.00,5 or less
2015,1,1 - Northwest Oregon & Willamette,Spruce,2S,490.00,5 or less
2015,1,1 - Northwest Oregon & Willamette,Spruce,3S,460.00,5 or less
2015,1,1 - Northwest Oregon & Willamette,Spruce,"(8-11"")",480.00,5 or less
2015,1,1 - Northwest Oregon & Willamette,Spruce,"(5-7"")",440.00,5 or less
2015,1,1 - Northwest Oregon & Willamette,Spruce,4S,440.00,5 or less
2015,1,1 - Northwest Oregon & Willamette,Spruce,"3S (12""+)",225.00,5 or less
2015,1,1 - Northwest Oregon & Willamette,Spruce,Utility,150.00,5 or less
2015,1,1 - Northwest Oregon & Willamette,Western Red Cedar,1S,1350.00,7
2015,1,1 - Northwest Oregon & Willamette,Western Red Cedar,2S,1270.00,7
2015,1,1 - Northwest Oregon & Willamette,Western Red Cedar,3S,1160.00,7
2015,1,1 - Northwest Oregon & Willamette,Western Red Cedar,4S,950.00,6
2015,1,1 - Northwest Oregon & Willamette,Western Red Cedar,Utility,300.00,5 or less
2015,1,1 - Northwest Oregon & Willamette,Western Red Cedar,Wormy,450.00,5 or less
2015,1,1 - Northwest Oregon & Willamette,Red Alder,CR,600.00,5 or less
2015,1,1 - Northwest Oregon & Willamette,Red Alder,Pulp/Utility,320.00,5 or less
